step,seed123_ma5,seed127_ma5,diff_123_minus_127
140,0.388620,0.410620,-0.022000
141,0.408580,0.417240,-0.008660
142,0.402120,0.421980,-0.019860
143,0.421040,0.411060,0.009980
144,0.426760,0.408440,0.018320
145,0.416140,0.412060,0.004080
146,0.403920,0.431160,-0.027240
147,0.404400,0.430800,-0.026400
148,0.399300,0.435280,-0.035980
149,0.406020,0.434060,-0.028040
150,0.415700,0.439260,-0.023560
151,0.429680,0.411680,0.018000
152,0.439360,0.413940,0.025420
153,0.436660,0.419840,0.016820
154,0.425980,0.413220,0.012760
155,0.425380,0.393900,0.031480
156,0.431680,0.395780,0.035900
157,0.432780,0.401860,0.030920
158,0.428800,0.384640,0.044160
159,0.433420,0.390720,0.042700
160,0.433620,0.400700,0.032920
161,0.415920,0.401780,0.014140
162,0.408160,0.401960,0.006200
163,0.417420,0.422520,-0.005100
164,0.409120,0.421020,-0.011900
165,0.409200,0.406380,0.002820
166,0.420920,0.409620,0.011300
167,0.423640,0.404360,0.019280
168,0.423800,0.396040,0.027760
169,0.432740,0.406800,0.025940
170,0.434420,0.425320,0.009100
171,0.432300,0.431700,0.000600
172,0.443260,0.426420,0.016840
173,0.445540,0.414620,0.030920
174,0.448200,0.411080,0.037120
175,0.451200,0.403600,0.047600
176,0.443940,0.383960,0.059980
177,0.427840,0.387400,0.040440
178,0.426000,0.403800,0.022200
179,0.419100,0.405600,0.013500
180,0.411300,0.406240,0.005060
181,0.411520,0.426960,-0.015440
182,0.413260,0.417420,-0.004160
183,0.402920,0.417780,-0.014860
184,0.399320,0.409680,-0.010360
185,0.392920,0.408700,-0.015780
186,0.390720,0.404720,-0.014000
187,0.402340,0.407740,-0.005400
188,0.413820,0.398040,0.015780
189,0.410820,0.403840,0.006980
190,0.411900,0.406160,0.005740
191,0.416220,0.399740,0.016480
192,0.403380,0.410400,-0.007020
193,0.399320,0.412340,-0.013020
194,0.409540,0.403860,0.005680
195,0.412860,0.398060,0.014800
196,0.418620,0.388500,0.030120
197,0.419840,0.386260,0.033580
198,0.413440,0.390460,0.022980
199,0.406400,0.409900,-0.003500
200,0.417820,0.413960,0.003860
201,0.405900,0.427180,-0.021280
202,0.406780,0.427000,-0.020220
203,0.407980,0.414200,-0.006220
204,0.411120,0.401940,0.009180
205,0.407180,0.409320,-0.002140
206,0.404800,0.404840,-0.000040
207,0.398900,0.406820,-0.007920
208,0.413160,0.417340,-0.004180
209,0.402020,0.417600,-0.015580
210,0.393820,0.404060,-0.010240
211,0.400340,0.409280,-0.008940
212,0.403900,0.407080,-0.003180
213,0.397340,0.413780,-0.016440
214,0.410380,0.418820,-0.008440
215,0.415600,0.433900,-0.018300
216,0.418440,0.442220,-0.023780
217,0.426880,0.440960,-0.014080
218,0.415460,0.433900,-0.018440
219,0.412680,0.426740,-0.014060
220,0.414480,0.417100,-0.002620
221,0.422300,0.408120,0.014180
222,0.420360,0.410780,0.009580
223,0.430200,0.405600,0.024600
224,0.441140,0.415500,0.025640
225,0.436100,0.417600,0.018500
226,0.422000,0.415600,0.006400
227,0.420100,0.425900,-0.005800
228,0.427400,0.436280,-0.008880
229,0.418960,0.422320,-0.003360
230,0.419740,0.426720,-0.006980
231,0.424940,0.424780,0.000160
232,0.424760,0.409560,0.015200
233,0.427400,0.410240,0.017160
234,0.433080,0.413300,0.019780
235,0.423280,0.413960,0.009320
236,0.423300,0.428600,-0.005300
237,0.420000,0.423420,-0.003420
238,0.405080,0.424620,-0.019540
239,0.403800,0.423400,-0.019600
240,0.416640,0.421800,-0.005160
241,0.415140,0.405380,0.009760
242,0.419480,0.412960,0.006520
243,0.413760,0.416980,-0.003220
244,0.409320,0.428640,-0.019320
245,0.410040,0.431640,-0.021600
246,0.415180,0.435780,-0.020600
247,0.418960,0.443440,-0.024480
248,0.433440,0.429880,0.003560
249,0.450900,0.414640,0.036260
250,0.459840,0.411660,0.048180
251,0.466120,0.412280,0.053840
252,0.491660,0.396660,0.095000
253,0.488980,0.395740,0.093240
254,0.481960,0.390320,0.091640
255,0.477360,0.379820,0.097540
256,0.470220,0.382300,0.087920
257,0.439680,0.395460,0.044220
258,0.437760,0.404220,0.033540
259,0.435220,0.412980,0.022240
260,0.430040,0.421180,0.008860
261,0.431680,0.425060,0.006620
262,0.436240,0.413180,0.023060
263,0.425500,0.406700,0.018800
